지점,지점명,일시,일강수량(mm),평균 풍속(m/s)
400,강남,2022-08-01,28,1.2
400,강남,2022-08-02,10.5,1.9
400,강남,2022-08-03,55.5,1.5
400,강남,2022-08-04,0,1.4
400,강남,2022-08-05,0,1.3
400,강남,2022-08-06,2.5,.9
400,강남,2022-08-07,.5,1.4
400,강남,2022-08-08,326.5,1.8
400,강남,2022-08-09,113.5,1.1
400,강남,2022-08-10,14,.9
400,강남,2022-08-11,46.5,.8
400,강남,2022-08-12,0,.8
400,강남,2022-08-13,2.5,.7
400,강남,2022-08-14,5,.9
400,강남,2022-08-15,1.5,2.4
400,강남,2022-08-16,0,1.5
400,강남,2022-08-17,0,
400,강남,2022-08-18,0,1
400,강남,2022-08-19,44.5,1.2
400,강남,2022-08-20,0,1.2
400,강남,2022-08-21,0,.7
400,강남,2022-08-22,2,1.1
400,강남,2022-08-23,3.5,.8
400,강남,2022-08-24,0,.9
400,강남,2022-08-25,1.5,
400,강남,2022-08-26,0,1.2
400,강남,2022-08-27,.5,1.7
400,강남,2022-08-28,0,.7
400,강남,2022-08-29,4,1
400,강남,2022-08-30,45.5,.6
400,강남,2022-08-31,0,.5
