행정동,노인(남),노인(여),독거노인(남),독거노인(여),데이터기준일자,경로당수
고잔동,4423,5058,688,1359,2023-06-22,39
대부동,1489,1552,484,585,2023-06-22,22
반월동,1789,2144,314,622,2023-06-22,14
본오1동,2040,2609,566,997,2023-06-22,10
본오2동,1625,2072,310,685,2023-06-22,5
본오3동,1278,1609,296,575,2023-06-22,8
부곡동,1280,1650,335,579,2023-06-22,8
사동,1767,2586,448,1057,2023-06-22,12
사이동,1665,2110,263,640,2023-06-22,13
선부동,3672,4460,1029,1742,2023-06-22,31
성포동,1640,1962,134,508,2023-06-22,9
신길동,1424,1570,337,439,2023-06-22,16
안산동,860,1030,214,343,2023-06-22,10
와동,1950,2544,540,913,2023-06-22,9
원곡동,2102,2311,473,657,2023-06-22,11
월피동,2071,2602,502,972,2023-06-22,12
이동,1539,1849,495,742,2023-06-22,5
일동,1499,2005,430,720,2023-06-22,5
초지동,2364,3106,441,1083,2023-06-22,14
해양동,1455,1434,95,215,2023-06-22,6
